ticket_price,travel_time,day_type,is_holiday,dep_hour,mode_enc,route_enc,pay_enc,class_enc,demand,mode,route_type,payment,travel_class
6965,581,0,1,7,1,1,1,0,235,Train,Easiest,UPI,Economy
6724,199,1,0,19,2,0,1,2,239,Airline,Fastest,UPI,First Class
9346,57,0,1,4,1,0,0,1,127,Train,Fastest,Cash,Business
5455,375,1,1,13,1,0,1,0,296,Train,Fastest,UPI,Economy
8937,83,1,0,20,0,0,0,0,231,Bus,Fastest,Cash,Economy
2596,274,0,1,21,0,0,1,2,237,Bus,Fastest,UPI,First Class
4298,407,0,0,5,1,0,2,0,208,Train,Fastest,Card,Economy
6249,436,0,0,18,2,0,0,2,147,Airline,Fastest,Cash,First Class
5041,644,0,0,11,2,1,2,1,130,Airline,Easiest,Card,Business
307,460,1,0,13,1,1,2,0,282,Train,Easiest,Card,Economy
7235,210,1,1,14,1,1,1,0,274,Train,Easiest,UPI,Economy
7485,279,1,1,10,0,1,1,0,234,Bus,Easiest,UPI,Economy
8088,247,1,1,10,1,1,2,0,239,Train,Easiest,Card,Economy
4054,446,1,0,22,1,1,1,0,222,Train,Easiest,UPI,Economy
1624,331,0,1,22,0,1,2,2,215,Bus,Easiest,Card,First Class
5732,465,1,1,22,1,1,1,1,259,Train,Easiest,UPI,Business
3877,153,0,1,3,2,0,0,0,212,Airline,Fastest,Cash,Economy
8695,641,1,0,6,1,0,1,0,134,Train,Fastest,UPI,Economy
5052,44,0,1,1,0,1,2,0,182,Bus,Easiest,Card,Economy
1780,42,1,1,15,1,1,0,0,329,Train,Easiest,Cash,Economy
4236,519,0,0,12,1,0,2,2,130,Train,Fastest,Card,First Class
9321,341,0,0,3,2,1,2,2,5,Airline,Easiest,Card,First Class
3797,565,1,1,14,1,1,1,2,226,Train,Easiest,UPI,First Class
1725,242,0,1,21,0,0,0,0,265,Bus,Fastest,Cash,Economy
9143,106,0,0,13,1,1,1,0,146,Train,Easiest,UPI,Economy
7538,102,0,1,20,2,0,1,0,320,Airline,Fastest,UPI,Economy
9022,260,0,1,4,0,0,0,1,74,Bus,Fastest,Cash,Business
4828,479,0,1,22,1,1,1,2,178,Train,Easiest,UPI,First Class
8947,535,1,0,19,0,1,2,1,159,Bus,Easiest,Card,Business
3850,619,0,1,18,0,0,1,2,247,Bus,Fastest,UPI,First Class
7345,314,0,1,20,1,0,1,1,252,Train,Fastest,UPI,Business
1813,194,1,1,22,1,1,2,1,326,Train,Easiest,Card,Business
9112,67,1,0,10,1,1,0,1,173,Train,Easiest,Cash,Business
118,585,1,1,1,0,1,2,1,211,Bus,Easiest,Card,Business
7342,82,0,1,17,0,1,1,2,238,Bus,Easiest,UPI,First Class
4020,192,1,0,17,1,0,0,0,309,Train,Fastest,Cash,Economy
7660,150,0,1,22,1,1,1,1,217,Train,Easiest,UPI,Business
9131,178,1,0,19,2,0,0,1,195,Airline,Fastest,Cash,Business
6898,378,1,0,9,2,1,2,2,203,Airline,Easiest,Card,First Class
2534,487,1,1,10,2,1,1,1,269,Airline,Easiest,UPI,Business
3190,274,1,0,13,0,1,2,1,192,Bus,Easiest,Card,Business
6425,697,0,1,1,0,1,0,1,60,Bus,Easiest,Cash,Business
1733,568,1,0,23,0,1,2,0,249,Bus,Easiest,Card,Economy
4442,376,1,0,10,2,1,1,2,180,Airline,Easiest,UPI,First Class
8094,584,0,0,7,2,1,0,2,143,Airline,Easiest,Cash,First Class
1746,484,0,1,0,0,1,0,1,203,Bus,Easiest,Cash,Business
5973,413,1,0,7,2,1,2,2,195,Airline,Easiest,Card,First Class
1393,654,1,0,15,2,0,0,1,187,Airline,Fastest,Cash,Business
4261,500,1,0,14,1,0,0,1,237,Train,Fastest,Cash,Business
5001,684,1,1,14,1,0,1,1,222,Train,Fastest,UPI,Business
1847,272,1,1,18,1,1,0,2,350,Train,Easiest,Cash,First Class
903,650,1,1,7,2,1,0,2,307,Airline,Easiest,Cash,First Class
3215,665,1,0,20,0,0,1,1,258,Bus,Fastest,UPI,Business
2253,122,1,1,23,1,0,0,0,349,Train,Fastest,Cash,Economy
8937,404,1,0,8,1,1,2,1,191,Train,Easiest,Card,Business
1333,174,0,1,17,1,0,1,0,369,Train,Fastest,UPI,Economy
4432,579,0,1,11,2,1,2,1,209,Airline,Easiest,Card,Business
1875,269,1,0,19,2,1,2,0,277,Airline,Easiest,Card,Economy
1135,680,1,1,20,1,0,0,0,390,Train,Fastest,Cash,Economy
8171,148,0,0,17,0,1,1,1,167,Bus,Easiest,UPI,Business
8950,459,0,1,20,0,1,2,1,212,Bus,Easiest,Card,Business
6170,252,1,1,7,1,0,2,1,308,Train,Fastest,Card,Business
9020,690,1,0,12,1,0,0,1,114,Train,Fastest,Cash,Business
449,81,1,0,4,2,0,0,2,202,Airline,Fastest,Cash,First Class
3494,630,0,0,10,0,0,1,0,184,Bus,Fastest,UPI,Economy
2958,142,0,0,0,1,0,2,1,152,Train,Fastest,Card,Business
358,208,1,0,4,2,1,2,0,226,Airline,Easiest,Card,Economy
6031,555,0,1,16,0,0,2,2,136,Bus,Fastest,Card,First Class
8643,338,1,0,1,1,1,1,2,98,Train,Easiest,UPI,First Class
7367,105,0,1,19,0,0,0,1,272,Bus,Fastest,Cash,Business
9084,362,1,1,14,2,1,0,2,181,Airline,Easiest,Cash,First Class
9133,250,1,1,7,1,1,1,1,286,Train,Easiest,UPI,Business
6915,127,1,1,10,2,1,1,0,258,Airline,Easiest,UPI,Economy
1594,117,0,1,3,2,1,0,2,180,Airline,Easiest,Cash,First Class
1082,630,1,0,13,1,1,2,0,269,Train,Easiest,Card,Economy
5861,136,0,0,21,1,0,0,1,152,Train,Fastest,Cash,Business
9213,406,0,1,18,0,1,2,2,163,Bus,Easiest,Card,First Class
530,653,1,0,5,1,1,1,1,211,Train,Easiest,UPI,Business
200,215,0,1,2,0,0,0,2,195,Bus,Fastest,Cash,First Class
7532,379,0,1,9,2,1,2,2,200,Airline,Easiest,Card,First Class
1491,83,0,0,19,0,0,1,1,267,Bus,Fastest,UPI,Business
7342,454,1,0,16,0,1,1,0,139,Bus,Easiest,UPI,Economy
4740,637,1,1,1,0,1,2,0,208,Bus,Easiest,Card,Economy
3560,170,1,1,10,0,0,1,2,270,Bus,Fastest,UPI,First Class
7155,209,0,1,17,2,0,2,2,257,Airline,Fastest,Card,First Class
1280,436,0,1,0,1,0,1,2,179,Train,Fastest,UPI,First Class
7133,617,1,1,9,0,1,0,1,255,Bus,Easiest,Cash,Business
7638,400,0,1,3,0,1,2,1,146,Bus,Easiest,Card,Business
8684,110,1,1,23,1,0,1,0,289,Train,Fastest,UPI,Economy
8793,552,0,1,11,2,0,0,0,170,Airline,Fastest,Cash,Economy
2499,292,0,0,19,0,0,0,2,188,Bus,Fastest,Cash,First Class
7454,608,1,1,4,1,0,1,1,164,Train,Fastest,UPI,Business
5061,311,0,1,16,0,1,1,1,222,Bus,Easiest,UPI,Business
4803,108,0,1,14,2,0,1,2,226,Airline,Fastest,UPI,First Class
3184,359,1,0,1,1,0,1,2,180,Train,Fastest,UPI,First Class
741,283,1,1,16,2,0,1,1,333,Airline,Fastest,UPI,Business
4734,426,1,1,21,2,0,2,2,222,Airline,Fastest,Card,First Class
9241,425,1,1,23,2,0,1,0,228,Airline,Fastest,UPI,Economy
2417,388,1,1,4,2,0,1,2,197,Airline,Fastest,UPI,First Class
2193,569,0,1,16,1,0,1,1,272,Train,Fastest,UPI,Business
3053,249,1,1,6,0,0,0,0,293,Bus,Fastest,Cash,Economy
8417,582,0,1,19,0,1,0,0,246,Bus,Easiest,Cash,Economy
3062,669,0,1,1,1,1,2,2,152,Train,Easiest,Card,First Class
4768,489,0,0,9,1,0,1,2,208,Train,Fastest,UPI,First Class
9445,481,1,1,12,2,1,0,0,192,Airline,Easiest,Cash,Economy
4196,83,1,1,17,0,0,1,0,367,Bus,Fastest,UPI,Economy
2726,309,1,0,13,0,0,1,1,232,Bus,Fastest,UPI,Business
6595,544,1,0,12,0,1,0,0,141,Bus,Easiest,Cash,Economy
5321,131,1,0,4,0,1,1,2,136,Bus,Easiest,UPI,First Class
7785,489,0,0,0,1,0,0,2,5,Train,Fastest,Cash,First Class
8747,463,0,1,7,1,0,0,0,210,Train,Fastest,Cash,Economy
7589,94,0,1,19,2,0,2,2,260,Airline,Fastest,Card,First Class
4063,177,1,1,0,2,1,0,2,176,Airline,Easiest,Cash,First Class
1502,566,1,0,16,2,0,1,1,227,Airline,Fastest,UPI,Business
813,680,1,1,8,2,0,1,0,348,Airline,Fastest,UPI,Economy
1798,625,1,0,1,1,1,2,0,209,Train,Easiest,Card,Economy
7712,520,0,0,2,2,1,0,1,33,Airline,Easiest,Cash,Business
786,353,1,1,17,1,1,0,2,390,Train,Easiest,Cash,First Class
3231,322,1,0,20,1,1,0,1,259,Train,Easiest,Cash,Business
7304,425,1,0,15,2,1,1,2,128,Airline,Easiest,UPI,First Class
4469,114,1,0,13,2,0,2,1,205,Airline,Fastest,Card,Business
4943,343,1,1,5,2,1,1,1,255,Airline,Easiest,UPI,Business
793,391,1,1,20,0,0,2,2,331,Bus,Fastest,Card,First Class
2721,61,0,1,1,0,0,0,2,203,Bus,Fastest,Cash,First Class
6101,400,1,0,19,0,1,1,1,211,Bus,Easiest,UPI,Business
2355,572,1,1,10,2,1,0,0,283,Airline,Easiest,Cash,Economy
524,220,1,1,17,0,1,1,2,308,Bus,Easiest,UPI,First Class
4778,532,0,0,4,0,1,0,2,63,Bus,Easiest,Cash,First Class
7392,119,1,1,22,0,1,1,0,247,Bus,Easiest,UPI,Economy
2952,400,0,0,6,0,0,1,0,150,Bus,Fastest,UPI,Economy
6012,597,1,1,17,0,0,0,1,246,Bus,Fastest,Cash,Business
7942,568,1,1,18,0,0,1,2,254,Bus,Fastest,UPI,First Class
1315,490,1,1,4,2,0,0,1,197,Airline,Fastest,Cash,Business
2134,560,0,1,5,0,1,2,0,246,Bus,Easiest,Card,Economy
5769,561,1,0,8,0,1,0,2,164,Bus,Easiest,Cash,First Class
8334,686,0,0,5,2,1,2,0,103,Airline,Easiest,Card,Economy
564,113,0,1,20,0,1,2,2,367,Bus,Easiest,Card,First Class
9038,326,1,1,7,2,1,1,1,255,Airline,Easiest,UPI,Business
1295,91,0,1,13,1,1,0,1,276,Train,Easiest,Cash,Business
5331,383,1,0,11,2,0,1,0,193,Airline,Fastest,UPI,Economy
7742,155,1,1,7,0,0,0,1,308,Bus,Fastest,Cash,Business
6950,284,0,1,18,2,1,0,0,255,Airline,Easiest,Cash,Economy
8263,557,1,1,9,1,0,0,1,204,Train,Fastest,Cash,Business
3624,627,1,0,1,1,1,2,2,115,Train,Easiest,Card,First Class
7810,322,0,0,13,0,1,2,1,94,Bus,Easiest,Card,Business
6663,82,0,1,17,1,0,1,2,262,Train,Fastest,UPI,First Class
7478,593,1,0,4,0,1,1,1,50,Bus,Easiest,UPI,Business
2463,233,1,0,1,0,0,2,1,166,Bus,Fastest,Card,Business
7861,561,1,0,19,2,0,1,2,165,Airline,Fastest,UPI,First Class
5002,637,1,1,22,2,1,1,0,263,Airline,Easiest,UPI,Economy
6135,369,0,1,18,1,0,2,1,271,Train,Fastest,Card,Business
3828,82,1,0,16,2,1,0,2,217,Airline,Easiest,Cash,First Class
4068,62,0,0,0,1,1,1,0,158,Train,Easiest,UPI,Economy
8321,656,1,0,22,0,0,2,1,108,Bus,Fastest,Card,Business
7937,568,1,1,5,1,1,2,1,182,Train,Easiest,Card,Business
4431,654,1,0,7,1,1,0,1,186,Train,Easiest,Cash,Business
4835,242,1,1,15,1,1,1,0,281,Train,Easiest,UPI,Economy
6564,383,0,1,1,1,0,1,1,145,Train,Fastest,UPI,Business
4301,520,0,0,17,1,1,0,0,211,Train,Easiest,Cash,Economy
4072,81,0,0,1,0,1,1,2,87,Bus,Easiest,UPI,First Class
7839,132,0,0,17,0,1,2,1,162,Bus,Easiest,Card,Business
4806,358,1,0,2,2,0,2,2,117,Airline,Fastest,Card,First Class
711,209,1,0,1,1,1,0,2,229,Train,Easiest,Cash,First Class
713,39,1,0,10,1,1,2,2,250,Train,Easiest,Card,First Class
8690,535,0,1,8,0,0,1,0,220,Bus,Fastest,UPI,Economy
3150,44,1,1,18,2,0,0,2,320,Airline,Fastest,Cash,First Class
6743,467,1,0,12,2,0,0,0,123,Airline,Fastest,Cash,Economy
211,297,1,0,14,1,1,1,2,254,Train,Easiest,UPI,First Class
9486,41,1,1,22,0,0,2,0,227,Bus,Fastest,Card,Economy
8333,348,0,1,11,2,0,0,0,186,Airline,Fastest,Cash,Economy
7934,186,1,1,13,2,1,2,2,214,Airline,Easiest,Card,First Class
1441,568,1,1,2,2,0,0,2,180,Airline,Fastest,Cash,First Class
8381,237,0,0,10,2,1,0,2,79,Airline,Easiest,Cash,First Class
1589,552,1,0,14,0,1,1,2,208,Bus,Easiest,UPI,First Class
1045,602,1,1,23,0,1,1,0,301,Bus,Easiest,UPI,Economy
842,463,1,0,17,0,0,1,0,295,Bus,Fastest,UPI,Economy
4803,448,0,0,20,2,1,1,1,158,Airline,Easiest,UPI,Business
6284,414,0,0,20,1,0,0,2,187,Train,Fastest,Cash,First Class
6539,571,0,0,0,0,1,1,2,21,Bus,Easiest,UPI,First Class
6314,265,0,1,11,0,1,0,2,147,Bus,Easiest,Cash,First Class
1948,62,1,0,7,0,0,0,2,300,Bus,Fastest,Cash,First Class
897,280,0,1,14,0,0,0,0,295,Bus,Fastest,Cash,Economy
8355,326,0,1,18,2,1,0,1,255,Airline,Easiest,Cash,Business
8640,256,1,1,8,0,0,2,2,205,Bus,Fastest,Card,First Class
7099,599,1,0,11,2,1,2,1,115,Airline,Easiest,Card,Business
5013,415,0,1,7,0,1,2,0,257,Bus,Easiest,Card,Economy
7686,89,1,1,17,2,0,1,0,330,Airline,Fastest,UPI,Economy
1395,490,1,0,17,2,0,0,1,293,Airline,Fastest,Cash,Business
6279,649,0,0,6,2,0,1,0,136,Airline,Fastest,UPI,Economy
351,246,0,0,23,1,0,2,2,202,Train,Fastest,Card,First Class
3450,436,0,1,9,1,1,2,2,262,Train,Easiest,Card,First Class
8501,539,1,0,23,1,1,0,1,128,Train,Easiest,Cash,Business
5226,453,0,0,23,0,0,1,2,132,Bus,Fastest,UPI,First Class
6941,332,0,0,10,0,1,2,0,120,Bus,Easiest,Card,Economy
8280,593,1,1,15,2,1,1,0,203,Airline,Easiest,UPI,Economy
2393,589,1,0,17,2,0,2,0,269,Airline,Fastest,Card,Economy
1317,79,0,1,4,2,0,0,2,220,Airline,Fastest,Cash,First Class
7571,412,0,1,21,1,0,0,2,172,Train,Fastest,Cash,First Class
9138,451,0,0,16,2,1,2,1,99,Airline,Easiest,Card,Business
7154,213,0,0,16,0,0,0,2,99,Bus,Fastest,Cash,First Class
8725,288,1,1,12,0,1,1,1,146,Bus,Easiest,UPI,Business
3800,337,0,0,2,1,1,1,2,82,Train,Easiest,UPI,First Class
7898,87,0,0,2,1,1,2,1,50,Train,Easiest,Card,Business
1662,570,0,0,6,2,1,1,0,176,Airline,Easiest,UPI,Economy
1318,317,0,0,10,0,0,2,0,217,Bus,Fastest,Card,Economy
6625,108,1,0,18,0,1,2,2,188,Bus,Easiest,Card,First Class
5535,423,0,0,16,2,1,0,0,107,Airline,Easiest,Cash,Economy
5680,649,1,1,0,2,1,1,1,174,Airline,Easiest,UPI,Business
3837,394,1,1,5,2,1,0,2,229,Airline,Easiest,Cash,First Class
1304,114,1,0,12,2,0,2,1,266,Airline,Fastest,Card,Business
5288,399,0,0,0,1,1,1,1,101,Train,Easiest,UPI,Business
7161,489,1,0,0,0,1,2,0,107,Bus,Easiest,Card,Economy
5415,424,0,1,13,1,0,2,2,238,Train,Fastest,Card,First Class
9470,563,0,1,5,0,1,1,1,93,Bus,Easiest,UPI,Business
8179,179,0,0,13,1,1,1,1,127,Train,Easiest,UPI,Business
4140,670,1,0,14,0,0,1,0,173,Bus,Fastest,UPI,Economy
6583,370,1,1,14,1,1,2,2,228,Train,Easiest,Card,First Class
3390,520,1,0,12,1,1,2,2,191,Train,Easiest,Card,First Class
8144,619,0,1,12,1,1,1,0,192,Train,Easiest,UPI,Economy
9039,214,0,1,22,0,1,1,2,137,Bus,Easiest,UPI,First Class
1233,448,1,0,20,1,0,1,2,303,Train,Fastest,UPI,First Class
6276,105,1,1,18,1,1,2,0,370,Train,Easiest,Card,Economy
5990,579,0,0,7,2,1,0,2,113,Airline,Easiest,Cash,First Class
6647,369,1,0,0,0,1,0,2,56,Bus,Easiest,Cash,First Class
8599,601,0,1,11,1,1,2,2,125,Train,Easiest,Card,First Class
502,524,0,1,13,0,0,2,0,270,Bus,Fastest,Card,Economy
5807,349,1,1,6,2,1,1,1,259,Airline,Easiest,UPI,Business
7512,356,0,1,1,2,0,0,1,135,Airline,Fastest,Cash,Business
1891,198,0,0,17,0,1,2,1,264,Bus,Easiest,Card,Business
6736,674,0,0,20,2,1,1,0,171,Airline,Easiest,UPI,Economy
3332,490,1,1,0,2,0,0,1,205,Airline,Fastest,Cash,Business
1125,621,0,0,11,1,0,1,0,183,Train,Fastest,UPI,Economy
4398,531,1,1,19,1,0,1,1,341,Train,Fastest,UPI,Business
4973,659,0,0,10,0,0,1,0,118,Bus,Fastest,UPI,Economy
3099,412,0,1,13,2,0,2,1,213,Airline,Fastest,Card,Business
8904,690,0,0,15,1,0,0,1,74,Train,Fastest,Cash,Business
7489,664,0,1,0,1,0,0,1,128,Train,Fastest,Cash,Business
8209,448,1,1,22,1,1,0,0,220,Train,Easiest,Cash,Economy
9363,61,0,1,1,1,0,2,1,151,Train,Fastest,Card,Business
8215,592,0,0,8,2,1,2,0,165,Airline,Easiest,Card,Economy
7331,589,0,1,3,2,0,1,0,120,Airline,Fastest,UPI,Economy
1525,479,0,0,6,2,1,2,2,158,Airline,Easiest,Card,First Class
7115,199,0,0,6,0,1,2,1,104,Bus,Easiest,Card,Business
4894,326,1,0,4,1,0,1,2,130,Train,Fastest,UPI,First Class
2178,165,0,0,22,1,0,2,1,189,Train,Fastest,Card,Business
4502,672,1,1,14,0,0,1,2,213,Bus,Fastest,UPI,First Class
4658,407,1,1,10,2,0,2,0,273,Airline,Fastest,Card,Economy
5969,94,1,0,13,0,1,1,1,163,Bus,Easiest,UPI,Business
4746,375,0,1,10,2,0,0,0,207,Airline,Fastest,Cash,Economy
366,157,0,1,14,0,1,0,2,234,Bus,Easiest,Cash,First Class
2261,695,1,0,8,0,1,1,0,234,Bus,Easiest,UPI,Economy
2811,83,1,1,23,2,0,1,2,320,Airline,Fastest,UPI,First Class
1594,127,0,0,15,0,0,2,0,210,Bus,Fastest,Card,Economy
232,381,0,1,22,0,1,0,0,281,Bus,Easiest,Cash,Economy
6376,121,0,0,10,1,1,0,1,149,Train,Easiest,Cash,Business
2281,686,0,0,16,2,0,2,2,101,Airline,Fastest,Card,First Class
2788,480,1,0,20,2,0,1,2,237,Airline,Fastest,UPI,First Class
1520,132,0,0,18,2,1,1,1,237,Airline,Easiest,UPI,Business
5252,173,0,1,20,0,0,2,2,246,Bus,Fastest,Card,First Class
539,338,0,0,23,1,1,2,0,224,Train,Easiest,Card,Economy
4021,536,1,0,7,1,0,2,0,316,Train,Fastest,Card,Economy
2262,426,1,1,17,2,0,1,0,373,Airline,Fastest,UPI,Economy
373,631,0,0,8,0,0,0,1,199,Bus,Fastest,Cash,Business
8309,455,1,1,2,2,0,1,0,173,Airline,Fastest,UPI,Economy
5177,110,0,0,17,1,1,2,2,218,Train,Easiest,Card,First Class
1183,347,1,0,1,0,0,1,0,184,Bus,Fastest,UPI,Economy
7528,656,0,1,21,2,0,0,0,160,Airline,Fastest,Cash,Economy
2784,538,1,1,5,1,0,2,1,253,Train,Fastest,Card,Business
2034,60,1,1,8,2,0,1,2,385,Airline,Fastest,UPI,First Class
8228,496,1,0,15,2,0,1,0,148,Airline,Fastest,UPI,Economy
4279,135,0,0,23,2,0,0,0,190,Airline,Fastest,Cash,Economy
6374,183,0,0,17,2,1,0,1,208,Airline,Easiest,Cash,Business
4167,456,1,1,2,2,1,0,2,169,Airline,Easiest,Cash,First Class
3756,558,0,1,2,1,1,1,1,166,Train,Easiest,UPI,Business
1515,596,1,0,11,0,1,2,1,195,Bus,Easiest,Card,Business
6133,635,1,0,23,2,0,0,0,145,Airline,Fastest,Cash,Economy
6818,54,0,1,20,2,0,1,0,307,Airline,Fastest,UPI,Economy
5138,136,0,0,13,1,0,0,2,133,Train,Fastest,Cash,First Class
4684,125,0,0,16,1,1,1,2,168,Train,Easiest,UPI,First Class
2287,682,1,0,18,2,0,1,2,244,Airline,Fastest,UPI,First Class
2241,272,1,1,10,1,1,1,1,308,Train,Easiest,UPI,Business
3421,169,0,0,3,0,1,1,1,128,Bus,Easiest,UPI,Business
6760,153,1,0,14,1,1,1,0,240,Train,Easiest,UPI,Economy
5084,647,0,0,10,0,0,2,0,152,Bus,Fastest,Card,Economy
5928,435,0,1,8,0,0,1,1,223,Bus,Fastest,UPI,Business
1651,503,0,0,3,0,0,0,0,131,Bus,Fastest,Cash,Economy
3346,440,1,0,18,2,1,0,0,285,Airline,Easiest,Cash,Economy
7365,161,0,1,3,0,1,0,0,153,Bus,Easiest,Cash,Economy
7196,434,1,0,12,2,1,0,1,131,Airline,Easiest,Cash,Business
4685,486,0,0,19,2,0,2,1,208,Airline,Fastest,Card,Business
8273,451,1,0,2,1,1,0,1,90,Train,Easiest,Cash,Business
8714,285,0,1,22,1,1,2,1,208,Train,Easiest,Card,Business
5736,609,1,1,8,0,0,1,2,262,Bus,Fastest,UPI,First Class
4702,89,1,1,18,0,0,0,0,396,Bus,Fastest,Cash,Economy
4051,302,0,0,18,1,1,0,0,253,Train,Easiest,Cash,Economy
5978,635,0,1,18,2,0,2,0,277,Airline,Fastest,Card,Economy
8164,585,1,0,15,0,0,0,0,128,Bus,Fastest,Cash,Economy
7931,30,1,0,4,1,0,1,0,162,Train,Fastest,UPI,Economy
459,181,0,0,16,1,0,1,2,239,Train,Fastest,UPI,First Class
1755,374,1,1,4,0,1,2,1,226,Bus,Easiest,Card,Business
5298,208,1,0,21,2,0,1,1,191,Airline,Fastest,UPI,Business
3011,31,1,0,5,2,1,2,0,241,Airline,Easiest,Card,Economy
9365,136,1,0,10,2,0,0,1,143,Airline,Fastest,Cash,Business
1553,684,1,1,0,1,0,0,2,210,Train,Fastest,Cash,First Class
1210,388,1,0,23,0,0,1,1,224,Bus,Fastest,UPI,Business
6883,534,1,1,17,1,0,1,2,228,Train,Fastest,UPI,First Class
3795,196,1,0,1,1,0,1,1,187,Train,Fastest,UPI,Business
2887,414,0,0,17,0,1,2,2,199,Bus,Easiest,Card,First Class
8009,61,1,0,19,1,0,0,0,241,Train,Fastest,Cash,Economy
6805,597,1,1,9,0,0,0,1,290,Bus,Fastest,Cash,Business
9467,592,1,0,1,1,0,1,0,84,Train,Fastest,UPI,Economy
7969,234,0,0,6,0,1,0,1,117,Bus,Easiest,Cash,Business
1992,345,1,1,15,2,1,0,2,251,Airline,Easiest,Cash,First Class
6349,408,0,1,1,1,1,1,1,146,Train,Easiest,UPI,Business
3806,305,0,0,22,2,0,0,2,125,Airline,Fastest,Cash,First Class
3827,596,0,1,16,1,1,2,0,258,Train,Easiest,Card,Economy
7903,336,0,1,22,0,0,0,1,185,Bus,Fastest,Cash,Business
